id,count
0,105.08018
1,243.74004
2,39.366062
4,106.27589
5,65.87183
10,143.34653
11,161.70145
12,233.45142
15,72.80864
17,21.833288
18,238.06384
23,226.16016
25,182.24702
26,91.47098
31,203.23444
39,217.61734
40,65.80283
41,105.391136
42,
43,192.18242
51,239.47394
52,75.42739
54,91.18237
60,171.20346
61,197.42805
62,162.53668
63,66.88214
65,147.75264
66,127.608574
68,211.78395
71,57.54576
80,100.18141
82,
94,196.07756
98,220.1692
101,89.56392
102,183.99237
107,72.54455
112,264.39883
113,70.5529
115,
116,177.23553
120,91.265526
121,78.39611
122,245.99501
132,193.91983
143,30.77612
147,
150,79.314575
151,74.32038
152,234.66737
153,94.64422
155,69.54072
156,78.194084
159,216.77748
161,94.486885
163,90.95922
177,192.45946
186,103.153984
188,76.97045
190,92.00323
191,103.38774
192,196.09012
195,235.38812
200,204.66988
209,231.52701
210,65.45732
211,255.61224
214,186.13045
215,96.67126
218,165.1259
219,55.48855
222,107.45803
225,75.225655
228,245.1714
236,227.36452
241,89.82259
242,202.95648
243,239.67935
245,78.095955
247,224.75688
251,210.19171
252,92.83546
253,72.28208
254,86.657166
258,223.01018
260,
261,205.40498
265,75.98469
266,219.23041
267,212.66414
269,186.53688
270,
275,156.98335
278,82.65627
279,64.32661
286,118.85494
287,63.521828
288,207.98218
289,198.75063
293,93.18432
294,204.7642
297,
302,110.0406
303,67.01325
304,72.49458
307,145.55609
309,65.95696
311,229.809
312,81.60928
314,226.57547
315,235.57689
319,208.24512
322,167.89867
323,
325,193.798
327,221.60033
330,75.04505
332,219.72548
333,93.91877
338,161.65294
341,86.34156
345,102.119774
348,181.708
349,107.33881
350,131.0319
352,
355,68.12101
356,
358,
363,193.0753
369,213.87033
371,82.748116
372,212.99124
375,235.08324
380,194.41997
388,89.19711
391,
392,210.23044
393,241.30168
394,88.320366
396,69.375916
401,73.454
407,67.07844
409,91.67013
410,137.4504
416,124.35606
418,138.24875
420,207.20274
421,246.57112
422,210.92915
424,237.49619
428,214.03423
429,233.10512
431,185.01584
435,11.195097
439,119.45368
441,29.824083
447,87.96823
449,211.54636
451,228.15215
452,84.35931
454,197.11082
458,240.74184
463,188.10802
467,76.91535
470,106.70291
471,172.59785
474,229.75401
478,102.88839
483,114.79448
484,180.47002
485,77.44188
486,180.7244
491,123.498535
494,110.4922
495,194.31636
497,190.40158
499,228.17302
515,154.16484
518,203.66423
521,105.045555
525,
529,222.35164
532,178.58504
534,82.67261
540,81.14839
544,237.61111
547,201.5974
549,96.324776
563,70.27466
564,221.32625
567,110.571815
572,166.40477
577,199.45879
578,240.85127
585,224.42065
588,215.0946
589,177.51378
590,146.37978
592,86.439476
594,108.07226
596,88.407646
598,224.76741
599,194.17784
605,102.54264
606,173.08379
607,209.69643
608,212.81499
609,
610,217.56299
611,117.72076
614,
615,194.86662
616,220.25609
617,178.80666
618,208.45686
624,123.40349
629,199.77585
631,103.99871
633,90.30489
637,92.21898
638,147.48866
643,
644,192.90465
645,73.41909
646,197.15889
648,183.8488
650,87.336845
651,111.64144
652,233.60655
656,181.07979
657,99.405785
659,92.21365
660,190.41406
662,148.4461
665,240.55229
675,
681,181.77046
682,195.52824
685,64.07627
686,221.18602
689,82.508156
696,172.53172
703,192.57701
704,128.83647
705,180.9021
714,204.49724
717,80.13167
718,89.38674
720,90.66507
721,251.66963
723,204.97676
726,96.1808
728,188.46985
730,118.55711
731,85.55347
734,239.27127
737,67.78787
738,86.670494
745,223.8853
746,76.37125
749,208.87854
752,78.87998
753,81.80392
758,202.10143
765,103.35689
766,231.41774
768,73.10903
769,216.02196
774,199.8741
775,131.10858
781,
784,232.49327
794,107.12021
795,230.71654
796,76.032524
802,84.58165
803,107.798225
805,74.65858
806,225.83716
807,140.78853
809,70.165215
810,216.63919
812,98.68251
814,118.27958
818,218.05608
819,234.28294
825,-0.3378142
836,94.9701
839,181.99825
847,227.5458
848,103.79681
851,195.48299
852,183.83351
853,29.666374
857,198.54045
858,103.13089
859,203.5543
861,5.2129498
867,170.20998
870,202.56183
871,214.07845
872,256.3445
874,258.0419
881,231.35176
886,178.731
890,
895,195.49051
899,85.60566
900,224.52858
901,222.64671
902,225.76149
903,89.388504
913,228.8717
918,229.10579
923,184.0625
924,79.957375
926,72.92716
927,88.77358
930,187.34735
934,62.26731
937,198.29158
939,163.7648
941,105.788185
942,248.92479
946,212.25467
950,142.50394
953,93.12449
959,29.572334
961,61.71386
962,109.1386
964,65.73683
969,186.19969
971,171.22838
976,76.55723
978,212.868
980,221.0624
981,198.92691
990,232.18611
993,75.37422
996,86.60384
998,237.4572
999,208.52455
1006,173.91667
1008,86.50335
1013,92.077484
1015,117.36411
1016,169.14551
1022,223.31932
1026,207.97351
1028,239.11784
1031,31.1498
1034,
1037,230.71413
1040,
1042,87.59248
1046,109.242546
1048,132.37312
1049,175.04445
1050,
1051,222.82811
1052,212.56987
1055,101.867485
1060,184.27074
1064,102.90488
1066,79.31126
1071,171.21077
1073,89.99586
1089,223.99702
1091,142.50325
1092,76.65014
1093,216.82124
1096,222.05899
1097,204.92259
1098,75.199615
1099,78.629234
1102,235.94905
1107,101.507515
1109,92.95718
1111,35.302853
1112,156.95778
1114,259.32382
1116,229.66942
1117,179.74883
1118,84.57401
1122,
1124,203.8133
1127,114.412605
1133,226.48857
1134,88.117905
1135,182.36208
1139,222.91463
1143,
1150,105.44998
1151,147.95534
1153,224.66315
1155,75.67412
1162,82.58981
1163,201.11795
1166,8.481437
1171,79.207085
1172,72.70753
1173,225.40509
1174,96.54344
1177,128.33983
1178,86.332436
1184,101.77891
1185,150.03197
1186,111.85543
1187,223.57603
1188,235.47589
1191,195.13278
1207,138.24237
1213,102.6744
1215,184.79842
1223,230.77573
1227,158.23933
1236,
1237,
1238,118.30596
1241,64.33677
1248,95.59493
1250,85.05276
1251,215.86386
1253,109.91534
1255,143.29478
1257,226.93523
1261,134.5957
1262,238.71944
1265,187.71141
1273,224.49522
1277,198.25865
1278,157.74579
1280,89.789154
1284,169.6695
1285,241.5287
1288,108.03679
1295,148.16063
1297,257.6846
1299,226.50217
1304,202.40543
1308,75.06665
1310,133.92271
1311,166.56905
1314,91.182396
1315,148.93442
1318,18.066608
1320,245.1707
1321,224.88708
1322,200.19246
1330,185.56865
1333,206.96469
1334,200.87776
1341,202.95152
1344,174.6493
1351,213.60344
1354,41.350372
1356,
1363,163.50533
1365,191.91997
1369,178.66554
1373,112.84791
1375,156.90125
1377,76.50408
